nombre_completo,dni,fecha_nacimiento,es_refuerzo,numero_camiseta,posicion
Juan Pérez González,12345678,15/03/2000,no,10,Delantero
María García López,87654321,22/07/1999,si,-,Mediocampista
Carlos Rodríguez,11223344,01/01/2001,no,7,
Ana Martínez Ruiz,55667788,30/12/1998,si,1,Portero
Pedro López Fernández,99887766,05/05/2002,no,-,Defensa
Lucía Sánchez,44332211,18/09/2000,no,23,Delantero
Miguel Torres Castro,66778899,25/11/1997,si,5,Defensa Central
Sofía Ramírez,33445566,10/02/2003,no,8,Volante
Diego Hernández,77889900,07/08/2001,no,-,
Valentina Díaz Luna,22334455,14/04/1999,si,11,Extremo Derecho
